start.11,salesman.5,Retiro,client.243,end.11,Pago Posterior,Terminada
start.11,salesman.4,Soporte,client.4,end.12,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.30,end.12,Pago Posterior,Terminada
start.11,salesman.15,Prestamo,client.266,end.12,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.187,end.12,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.7,end.12,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.44,end.12,Pago Contra Entrega,Terminada
start.11,salesman.4,Venta,client.230,end.12,Pago Posterior,Terminada
start.11,salesman.15,Prestamo,client.274,end.12,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.11,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.11,salesman.5,Venta,client.117,end.12,Pago Contra Entrega,Terminada
start.11,salesman.15,Prestamo,client.275,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.38,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Prestamo,client.30,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.276,end.12,Pago ya Efectuado,Terminada
start.12,salesman.4,Soporte,client.83,end.12,Pago Posterior,Terminada
start.12,salesman.15,Prestamo,client.268,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.4,Venta,client.246,end.12,Pago Posterior,Terminada
start.12,salesman.4,Retiro,client.246,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.211,end.12,Pago Contra Entrega,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.98,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Arriendo,client.277,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.246,end.12,Pago Posterior,Terminada
start.12,salesman.15,Retiro,client.268,end.12,Pago Posterior,Anulada
start.12,salesman.7,Venta,client.3,end.12,Pago Contra Entrega,Terminada
start.12,salesman.15,Retiro,client.268,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.78,end.12,Pago Posterior,Terminada
start.12,salesman.5,Soporte,client.38,end.12,Pago ya Efectuado,Terminada
start.12,salesman.5,Soporte,client.38,end.12,Pago ya Efectuado,Terminada
start.12,salesman.7,Venta,client.252,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Prestamo,client.246,end.12,Pago Posterior,Terminada
